home_team,away_team,home1,home2,home3,home4,home5,home6,home7,home8,home9,home10,home11,away1,away2,away3,away4,away5,away6,away7,away8,away9,away10,away11,home_score,away_score,season
afc-bournemouth,arsenal-fc,Artur Boruc,Simon Francis,Steve Cook,Charlie Daniels,Adam Smith,Dan Gosling,Andrew Surman,Marc Pugh,Harry Arter,Matt Ritchie,Benik Afobe,Petr Äech, Gabriel Paulista,Laurent Koscielny, Nacho Monreal, HÃ©ctor BellerÃ­n,Mesut Ãzil,Aaron Ramsey,Mathieu Flamini,Olivier Giroud,Alex Oxlade-Chamberlain,Alexis SÃ¡nchez,0.0,2.0,2016
afc-bournemouth,aston-villa,Artur Boruc,Simon Francis,Steve Cook,Tommy Elphick,Charlie Daniels,Dan Gosling,Andrew Surman,Marc Pugh,Matt Ritchie,Callum Wilson,Joshua King,Brad Guzan,Micah Richards,Ciaran Clark,Leandro Bacuna,Jordan Amavi,Idrissa Gueye,Scott Sinclair,Ashley Westwood,Jordan Veretout,Gabriel Agbonlahor,Jordan Ayew,0.0,1.0,2016
afc-bournemouth,chelsea-fc,Artur Boruc,Simon Francis,Steve Cook,Tommy Elphick,Charlie Daniels,Dan Gosling,Andrew Surman,Marc Pugh,Junior Stanislas,Joshua King,Lewis Grabban,Asmir BegoviÄ,Branislav IvanoviÄ,Abdul Rahman Baba, Azpilicueta, Cesc FÃ bregas,John Mikel,Nemanja MatiÄ, Willian,Eden Hazard, Pedro, Diego Costa,1.0,4.0,2016
afc-bournemouth,crystal-palace,Artur Boruc,Simon Francis,Steve Cook,Charlie Daniels,Adam Smith,Dan Gosling,Andrew Surman,Harry Arter,Junior Stanislas,Matt Ritchie,Glenn Murray,Wayne Hennessey,Joel Ward,Scott Dann,Pape SouarÃ©,Damien Delaney,James McArthur,Jordon Mutch,Joe Ledley,Jason Puncheon,Fraizer Campbell,Wilfried Zaha,0.0,0.0,2016
afc-bournemouth,everton-fc,Adam Federici,Simon Francis,Steve Cook,Charlie Daniels,Sylvain Distin,Dan Gosling,Andrew Surman,Harry Arter,Junior Stanislas,Matt Ritchie,Joshua King,Tim Howard,John Stones,SÃ©amus Coleman,Ramiro Funes Mori,Brendan Galloway,James McCarthy,Gareth Barry,Ross Barkley,Arouna KonÃ©,Romelu Lukaku, Gerard Deulofeu,3.0,3.0,2016
afc-bournemouth,leicester-city,Artur Boruc,Simon Francis,Steve Cook,Tommy Elphick,Charlie Daniels,Andrew Surman,Matt Ritchie,Eunan O'Kane,Max Gradel,Callum Wilson,Lee Tomlin,Kasper Schmeichel,Ritchie De Laet,Wes Morgan,Robert Huth,Jeffrey Schlupp,Danny Drinkwater,Andy King,Marc Albrighton,N'Golo KantÃ©,Riyad Mahrez,Jamie Vardy,1.0,1.0,2016
afc-bournemouth,liverpool-fc,Artur Boruc,Simon Francis,Steve Cook,Tommy Elphick,Charlie Daniels,Dan Gosling,Andrew Surman,Junior Stanislas,Matt Ritchie,Max Gradel,Joshua King,Danny Ward,Kolo TourÃ©,Brad Smith,Connor Randall, Lucas Leiva,Joe Allen,Kevin Stewart,Sheyi Ojo, Roberto Firmino,Daniel Sturridge,Jordon Ibe,1.0,2.0,2016
afc-bournemouth,manchester-city,Artur Boruc,Simon Francis,Steve Cook,Charlie Daniels,Adam Smith,Andrew Surman,Matt Ritchie,Eunan O'Kane,Max Gradel,Joshua King,Lewis Grabban,Willy Caballero,Pablo Zabaleta,Eliaquim Mangala,GaÃ«l Clichy,NicolÃ¡s Otamendi, Fernando, JesÃºs Navas,Kevin De Bruyne, David Silva, Fernandinho,Kun AgÃ¼ero,0.0,4.0,2016
afc-bournemouth,manchester-united,Artur Boruc,Simon Francis,Steve Cook,Charlie Daniels,Adam Smith,Dan Gosling,Andrew Surman,Harry Arter,Junior Stanislas,Matt Ritchie,Joshua King, De Gea,Daley Blind,Guillermo Varela,Paddy McNair,Cameron Borthwick-Jackson, Mata,Michael Carrick,Marouane Fellaini,Jesse Lingard,Memphis Depay,Anthony Martial,2.0,1.0,2016
afc-bournemouth,newcastle-united,Adam Federici,Simon Francis,Charlie Daniels,Adam Smith,Sylvain Distin,Dan Gosling,Andrew Surman,Harry Arter,Junior Stanislas,Matt Ritchie,Joshua King,Rob Elliot,Fabricio Coloccini,Paul Dummett,Chancel Mbemba,Daryl Janmaat,Georginio Wijnaldum,Moussa Sissoko,Vurnon Anita, Ayoze PÃ©rez,Cheick TiotÃ©,Aleksandar MitroviÄ,0.0,1.0,2016
