name,team,season,count,id
 Adrien Silva,leicester-city,2018,9,1
 Adrien Silva,leicester-city,2019,1,1
 AdriÃ¡n,west-ham-united,2015,38,2
 AdriÃ¡n,west-ham-united,2016,32,2
 AdriÃ¡n,west-ham-united,2017,16,2
 AdriÃ¡n,west-ham-united,2018,19,2
 Alberto Moreno,liverpool-fc,2015,26,3
 Alberto Moreno,liverpool-fc,2016,28,3
 Alberto Moreno,liverpool-fc,2017,2,3
 Alberto Moreno,liverpool-fc,2018,14,3
 Alberto Moreno,liverpool-fc,2019,2,3
 Aleix GarcÃ­a,manchester-city,2017,1,4
 Alexandre Pato,chelsea-fc,2016,1,5
 Alisson,liverpool-fc,2019,38,6
 Ander Herrera,manchester-united,2015,19,7
 Ander Herrera,manchester-united,2016,17,7
 Ander Herrera,manchester-united,2017,27,7
 Ander Herrera,manchester-united,2018,13,7
 Ander Herrera,manchester-united,2019,16,7
 Andreas Pereira,manchester-united,2019,6,8
 AndrÃ© Gomes,everton-fc,2019,24,9
 Arbeloa,west-ham-united,2017,1,10
 Ayoze PÃ©rez,newcastle-united,2015,25,11
 Ayoze PÃ©rez,newcastle-united,2016,22,11
 Ayoze PÃ©rez,newcastle-united,2018,28,11
 Ayoze PÃ©rez,newcastle-united,2019,34,11
 Azpilicueta,chelsea-fc,2015,29,12
 Azpilicueta,chelsea-fc,2016,36,12
 Azpilicueta,chelsea-fc,2017,38,12
 Azpilicueta,chelsea-fc,2018,37,12
 Azpilicueta,chelsea-fc,2019,38,12
 BarragÃ¡n,middlesbrough-fc,2017,26,13
 Bernard,everton-fc,2019,25,14
 Bernardo,brighton-hove-albion,2019,19,15
 Bernardo Silva,manchester-city,2018,15,16
 Bernardo Silva,manchester-city,2019,31,16
 Bojan,stoke-city,2015,14,17
 Bojan,stoke-city,2016,22,17
 Bojan,stoke-city,2017,5,17
 Bojan,stoke-city,2018,1,17
 Borja BastÃ³n,swansea-city,2017,4,18
 Bruno,brighton-hove-albion,2018,23,19
 Bruno,brighton-hove-albion,2019,14,19
 Camarasa,cardiff-city,2019,31,20
 Carles Gil,aston-villa,2015,4,21
 Carles Gil,aston-villa,2016,17,21
 Cesc FÃ bregas,chelsea-fc,2015,33,22
 Cesc FÃ bregas,chelsea-fc,2016,33,22
 Cesc FÃ bregas,chelsea-fc,2017,13,22
 Cesc FÃ bregas,chelsea-fc,2018,25,22
 Cesc FÃ bregas,chelsea-fc,2019,1,22
 Coutinho,liverpool-fc,2015,32,23
 Coutinho,liverpool-fc,2016,24,23
 Coutinho,liverpool-fc,2017,28,23
 Coutinho,liverpool-fc,2018,13,23
 CÃ©dric Soares,southampton-fc,2016,23,24
 CÃ©dric Soares,southampton-fc,2017,30,24
 CÃ©dric Soares,southampton-fc,2018,32,24
 CÃ©dric Soares,southampton-fc,2019,16,24
 Daniel Ayala,middlesbrough-fc,2017,11,25
 Danilo,manchester-city,2018,13,26
 Danilo,manchester-city,2019,9,26
 David Luiz,chelsea-fc,2017,33,27
 David Luiz,chelsea-fc,2018,9,27
 David Luiz,chelsea-fc,2019,36,27
 David Silva,manchester-city,2015,32,28
 David Silva,manchester-city,2016,22,28
 David Silva,manchester-city,2017,31,28
 David Silva,manchester-city,2018,28,28
 David Silva,manchester-city,2019,28,28
 De Gea,manchester-united,2015,37,29
 De Gea,manchester-united,2016,34,29
 De Gea,manchester-united,2017,35,29
 De Gea,manchester-united,2018,37,29
 De Gea,manchester-united,2019,38,29
 Diego Costa,chelsea-fc,2015,24,30
 Diego Costa,chelsea-fc,2016,27,30
 Diego Costa,chelsea-fc,2017,35,30
 Diego Rico,afc-bournemouth,2019,5,31
 Diogo Dalot,manchester-united,2019,12,32
 Diogo Jota,wolverhampton-wanderers,2019,29,33
 Domingos Quina,watford-fc,2019,3,34
 Ederson,manchester-city,2018,36,35
 Ederson,manchester-city,2019,38,35
 Emerson,chelsea-fc,2018,3,36
 Emerson,chelsea-fc,2019,7,36
 Evandro,hull-city,2017,7,37
 Fabinho,liverpool-fc,2019,21,38
 Fabricio,fulham-fc,2019,2,39
 Felipe Anderson,west-ham-united,2019,36,40
 Fernandinho,manchester-city,2015,25,41
 Fernandinho,manchester-city,2016,31,41
 Fernandinho,manchester-city,2017,31,41
 Fernandinho,manchester-city,2018,33,41
 Fernandinho,manchester-city,2019,27,41
 Fernando,manchester-city,2015,22,42
 Fernando,manchester-city,2016,17,42
 Fernando,manchester-city,2017,5,42
 Filipe LuÃ­s,chelsea-fc,2015,9,43
 Fred,manchester-united,2019,13,44
 FÃ¡bio,middlesbrough-fc,2017,21,45
