home_team,away_team,home1,home2,home3,home4,home5,home6,home7,home8,home9,home10,home11,away1,away2,away3,away4,away5,away6,away7,away8,away9,away10,away11,home_score,away_score,season
afc-bournemouth,arsenal-fc,Artur Boruc,Simon Francis,Steve Cook,Nathan AkÃ©,Charlie Daniels,Dan Gosling,Harry Arter,Junior Stanislas,Ryan Fraser,Callum Wilson,Joshua King,Petr Äech,Laurent Koscielny, Nacho Monreal,Shkodran Mustafi, HÃ©ctor BellerÃ­n,Aaron Ramsey,Granit Xhaka,Francis Coquelin,Alexis SÃ¡nchez,Olivier Giroud,Alex Iwobi,3.0,3.0,2017
afc-bournemouth,burnley-fc,Artur Boruc,Simon Francis,Steve Cook,Charlie Daniels,Adam Smith,Marc Pugh,Harry Arter,Lewis Cook,Junior Stanislas,Joshua King,Lys Mousset,Tom Heaton,Matthew Lowton,Stephen Ward,James Tarkowski,Kevin Long,Jeff Hendrick,Ashley Westwood,Scott Arfield,Sam Vokes,Ashley Barnes,George Boyd,2.0,1.0,2017
afc-bournemouth,chelsea-fc,Artur Boruc,Simon Francis,Steve Cook,Charlie Daniels,Adam Smith,Marc Pugh,Harry Arter,Ryan Fraser,Jack Wilshere,Benik Afobe,Joshua King,Thibaut Courtois, Marcos Alonso,Gary Cahill, Azpilicueta, David Luiz,N'Golo KantÃ©,Victor Moses,Nemanja MatiÄ,Eden Hazard, Pedro, Diego Costa,1.0,3.0,2017
afc-bournemouth,crystal-palace,Artur Boruc,Simon Francis,Steve Cook,Brad Smith,Adam Smith,Andrew Surman,Junior Stanislas,Ryan Fraser,Jack Wilshere,Benik Afobe,Joshua King,Wayne Hennessey,Joel Ward,Patrick van Aanholt,James Tomkins,Scott Dann,Damien Delaney,Yohan Cabaye,James McArthur,Jason Puncheon,Wilfried Zaha,Christian Benteke,0.0,2.0,2017
afc-bournemouth,everton-fc,Artur Boruc,Simon Francis,Steve Cook,Charlie Daniels,Adam Smith,Andrew Surman,Harry Arter,Junior Stanislas,Jack Wilshere,Callum Wilson,Jordon Ibe,Maarten Stekelenburg,Ashley Williams,Phil Jagielka,Bryan Oviedo,SÃ©amus Coleman,Ross Barkley,Yannick Bolasie,Idrissa Gueye,Gareth Barry,Romelu Lukaku,Kevin Mirallas,1.0,0.0,2017
afc-bournemouth,hull-city,Artur Boruc,Simon Francis,Steve Cook,Charlie Daniels,Adam Smith,Andrew Surman,Harry Arter,Junior Stanislas,Jack Wilshere,Callum Wilson,Jordon Ibe,David Marshall,Andrew Robertson,Harry Maguire,Curtis Davies,Ahmed El Mohamady,Robert Snodgrass,Sam Clucas,Jake Livermore,Shaun Maloney,Ryan Mason,William Keane,6.0,1.0,2017
afc-bournemouth,leicester-city,Artur Boruc,Simon Francis,Steve Cook,Nathan AkÃ©,Charlie Daniels,Adam Smith,Marc Pugh,Harry Arter,Jack Wilshere,Benik Afobe,Joshua King,Ron-Robert Zieler, Luis HernÃ¡ndez,Wes Morgan,Robert Huth,Daniel Amartey,Christian Fuchs,Andy King,Marc Albrighton,Riyad Mahrez,Jamie Vardy,Islam Slimani,1.0,0.0,2017
afc-bournemouth,liverpool-fc,Artur Boruc,Simon Francis,Steve Cook,Nathan AkÃ©,Adam Smith,Dan Gosling,Harry Arter,Junior Stanislas,Jack Wilshere,Callum Wilson,Joshua King,Loris Karius,Nathaniel Clyne,Dejan Lovren,James Milner,Georginio Wijnaldum,Jordan Henderson, Lucas Leiva,Emre Can, Roberto Firmino,Sadio ManÃ©,Divock Origi,4.0,3.0,2017
afc-bournemouth,manchester-city,Artur Boruc,Simon Francis,Steve Cook,Charlie Daniels,Adam Smith,Andrew Surman,Harry Arter,Ryan Fraser,Jack Wilshere,Joshua King,Jordon Ibe,Willy Caballero,Bacary Sagna,Aleksandar Kolarov,John Stones,Kevin De Bruyne, David Silva, Fernandinho,Yaya TourÃ©,Raheem Sterling,Leroy SanÃ©, Gabriel Jesus,0.0,2.0,2017
afc-bournemouth,manchester-united,Artur Boruc,Simon Francis,Steve Cook,Charlie Daniels,Adam Smith,Andrew Surman,Harry Arter,Lewis Cook,Callum Wilson,Joshua King,Jordon Ibe, De Gea,Eric Bailly,Daley Blind,Luke Shaw,Antonio Valencia, Mata, Ander Herrera,Marouane Fellaini,Zlatan IbrahimoviÄ,Wayne Rooney,Anthony Martial,1.0,3.0,2017
afc-bournemouth,middlesbrough-fc,Artur Boruc,Simon Francis,Steve Cook,Charlie Daniels,Adam Smith,Dan Gosling,Marc Pugh,Harry Arter,Ryan Fraser,Benik Afobe,Joshua King,Brad Guzan,George Friend, Daniel Ayala,Ben Gibson, BarragÃ¡n,Calum Chambers,Adam Clayton,Marten de Roon,Stewart Downing,GastÃ³n RamÃ­rez, Ãlvaro Negredo,4.0,0.0,2017
afc-bournemouth,southampton-fc,Artur Boruc,Simon Francis,Steve Cook,Nathan AkÃ©,Charlie Daniels,Adam Smith,Marc Pugh,Harry Arter,Jack Wilshere,Callum Wilson,Joshua King,Fraser Forster, CÃ©dric Soares,Maya Yoshida,Virgil van Dijk,Ryan Bertrand,Jordy Clasie,Harrison Reed,Sofiane Boufal,Nathan Redmond,Pierre-Emile HÃ¸jbjerg,Jay Rodriguez,1.0,3.0,2017
