name,team,season,count
Artur Boruc,afc-bournemouth,2016,1
Simon Francis,afc-bournemouth,2016,1
Steve Cook,afc-bournemouth,2016,1
Charlie Daniels,afc-bournemouth,2016,1
Adam Smith,afc-bournemouth,2016,1
Dan Gosling,afc-bournemouth,2016,1
Andrew Surman,afc-bournemouth,2016,1
Marc Pugh,afc-bournemouth,2016,1
Harry Arter,afc-bournemouth,2016,1
Matt Ritchie,afc-bournemouth,2016,1
Benik Afobe,afc-bournemouth,2016,1
Petr Äech,arsenal-fc,2016,1
 Gabriel Paulista,arsenal-fc,2016,1
Laurent Koscielny,arsenal-fc,2016,1
 Nacho Monreal,arsenal-fc,2016,1
 HÃ©ctor BellerÃ­n,arsenal-fc,2016,1
Mesut Ãzil,arsenal-fc,2016,1
Aaron Ramsey,arsenal-fc,2016,1
Mathieu Flamini,arsenal-fc,2016,1
Olivier Giroud,arsenal-fc,2016,1
Alex Oxlade-Chamberlain,arsenal-fc,2016,1
Alexis SÃ¡nchez,arsenal-fc,2016,1
Artur Boruc,afc-bournemouth,2016,1
Simon Francis,afc-bournemouth,2016,1
Steve Cook,afc-bournemouth,2016,1
Tommy Elphick,afc-bournemouth,2016,1
Charlie Daniels,afc-bournemouth,2016,1
Dan Gosling,afc-bournemouth,2016,1
Andrew Surman,afc-bournemouth,2016,1
Marc Pugh,afc-bournemouth,2016,1
Matt Ritchie,afc-bournemouth,2016,1
Callum Wilson,afc-bournemouth,2016,1
Joshua King,afc-bournemouth,2016,1
Brad Guzan,aston-villa,2016,1
Micah Richards,aston-villa,2016,1
Ciaran Clark,aston-villa,2016,1
Leandro Bacuna,aston-villa,2016,1
Jordan Amavi,aston-villa,2016,1
Idrissa Gueye,aston-villa,2016,1
Scott Sinclair,aston-villa,2016,1
Ashley Westwood,aston-villa,2016,1
Jordan Veretout,aston-villa,2016,1
Gabriel Agbonlahor,aston-villa,2016,1
Jordan Ayew,aston-villa,2016,1
Artur Boruc,afc-bournemouth,2016,1
Simon Francis,afc-bournemouth,2016,1
Steve Cook,afc-bournemouth,2016,1
Tommy Elphick,afc-bournemouth,2016,1
Charlie Daniels,afc-bournemouth,2016,1
Dan Gosling,afc-bournemouth,2016,1
Andrew Surman,afc-bournemouth,2016,1
Marc Pugh,afc-bournemouth,2016,1
Junior Stanislas,afc-bournemouth,2016,1
Joshua King,afc-bournemouth,2016,1
Lewis Grabban,afc-bournemouth,2016,1
Asmir BegoviÄ,chelsea-fc,2016,1
Branislav IvanoviÄ,chelsea-fc,2016,1
Abdul Rahman Baba,chelsea-fc,2016,1
 Azpilicueta,chelsea-fc,2016,1
 Cesc FÃ bregas,chelsea-fc,2016,1
John Mikel,chelsea-fc,2016,1
Nemanja MatiÄ,chelsea-fc,2016,1
 Willian,chelsea-fc,2016,1
Eden Hazard,chelsea-fc,2016,1
 Pedro,chelsea-fc,2016,1
 Diego Costa,chelsea-fc,2016,1
Artur Boruc,afc-bournemouth,2016,1
Simon Francis,afc-bournemouth,2016,1
Steve Cook,afc-bournemouth,2016,1
Charlie Daniels,afc-bournemouth,2016,1
Adam Smith,afc-bournemouth,2016,1
Dan Gosling,afc-bournemouth,2016,1
Andrew Surman,afc-bournemouth,2016,1
Harry Arter,afc-bournemouth,2016,1
Junior Stanislas,afc-bournemouth,2016,1
Matt Ritchie,afc-bournemouth,2016,1
Glenn Murray,afc-bournemouth,2016,1
